Z_PK,Z_ENT,Z_OPT,ZUUIDHASH,ZEVENT,ZSOURCE,ZCATEGORYTYPE,ZINTEGERVALUE,ZCOMPATIBILITYVERSION,ZENDDAYOFWEEK,ZENDSECONDOFDAY,ZHASCUSTOMMETADATA,ZHASSTRUCTUREDMETADATA,ZSECONDSFROMGMT,ZSHOULDSYNC,ZSTARTDAYOFWEEK,ZSTARTSECONDOFDAY,ZVALUECLASS,ZVALUEINTEGER,ZVALUETYPECODE,ZSTRUCTUREDMETADATA,ZVALUE,Z9_VALUE,ZIDENTIFIERTYPE,ZQUANTITYTYPE,ZCREATIONDATE,ZLOCALCREATIONDATE,ZCONFIDENCE,ZENDDATE,ZSTARTDATE,ZVALUEDOUBLE,ZDOUBLEVALUE,ZUUID,ZSTREAMNAME,ZVALUESTRING,ZSTRING,ZMETADATA
4647,11,1,-4858227865368534546,,257.0,,,0,6,52312,0,1,7200,0,6,52312,1,908971599454435065,-635635896434291546,3281.0,,,,,718295512.413146,718295512.413146,1.0,718295512.0,718295512.0,9.089715994544351e+17,,A812A5FE-A3B5-44DD-98C0-8381125AC5E0,/discoverability/signals,com.apple.screencapture.invoke,,
4785,11,1,-7745574977660660301,,259.0,,,0,5,59323,1,1,7200,1,5,59323,1,4052691555391200525,-7833744888730848254,3579.0,,,,,718859310.529066,718859310.529066,1.0,718216123.0,718216123.0,4.052691555391201e+18,,EF65EC35-8CC6-4AEB-80C6-D7F7D32CAFCF,/portrait/topic,Q206904,,
4810,11,1,815533638481135512,,260.0,,,0,1,50659,0,1,7200,0,1,50659,1,2687269364483809848,-635635896434291546,3429.0,,,,,719071459.626987,719071459.626987,1.0,719071459.0,719071459.0,2.68726936448381e+18,,1C3432AB-EA07-4226-BAF9-3D41E9EF0C71,/discoverability/signals,com.apple.Safari.user-opened-tab,,
5119,11,1,1253588148934316780,,261.0,,,0,5,47376,0,1,7200,0,5,47376,1,2687269364483809848,-635635896434291546,3429.0,,,,,719413776.793707,719413776.793707,1.0,719413776.0,719413776.0,2.68726936448381e+18,,51DD7455-A63B-4213-BF9A-C8B191CECF79,/discoverability/signals,com.apple.Safari.user-opened-tab,,
5539,11,1,-3259130414202795470,,262.0,,,0,4,55315,0,1,7200,0,4,55315,1,2236308892753624024,-635635896434291546,4252.0,,,,,719940115.611487,719940115.611487,1.0,719940115.0,719940115.0,2.236308892753624e+18,,1F882399-702A-491A-82BB-CD0BE4C2C25D,/discoverability/signals,com.apple.controlcenter.presented,,
5540,11,1,-3139677776824750307,,263.0,,,0,4,55317,0,1,7200,0,4,55317,1,-2630972289599998234,-635635896434291546,4253.0,,,,,719940117.614113,719940117.614113,1.0,719940117.0,719940117.0,1.5815771784109554e+19,,DAB5D089-6EAD-43B1-A7CE-692B21FEC0F0,/discoverability/signals,com.apple.controlcenter.customized.menubar,,
5678,11,1,-1313303721475770168,,264.0,,,0,4,63427,0,1,7200,0,4,63427,1,2236308892753624024,-635635896434291546,4252.0,,,,,719948227.735692,719948227.735692,1.0,719948227.0,719948227.0,2.236308892753624e+18,,EF9CF5D9-177A-4FF4-8BFF-3493A0F52598,/discoverability/signals,com.apple.controlcenter.presented,,
5742,11,1,-2984767871057948010,,265.0,,,0,5,49115,0,1,7200,0,5,49115,1,2236308892753624024,-635635896434291546,4252.0,,,,,720020315.327351,720020315.327351,1.0,720020315.0,720020315.0,2.236308892753624e+18,,ED2152D0-128F-4F4F-BC4E-3CE5A348D7B7,/discoverability/signals,com.apple.controlcenter.presented,,
5911,11,1,5217243646441272507,,266.0,,,0,1,79833,0,1,3600,0,1,79833,1,2687269364483809848,-635635896434291546,3429.0,,,,,720915033.261715,720915033.261715,1.0,720915033.0,720915033.0,2.68726936448381e+18,,831EBFBE-95A0-4924-BD51-67316D28D24F,/discoverability/signals,com.apple.Safari.user-opened-tab,,
6503,11,1,-3005637705192671508,,267.0,,,0,1,43110,0,1,3600,0,1,43110,1,2236308892753624024,-635635896434291546,4252.0,,,,,721483110.679691,721483110.679691,1.0,721483110.0,721483110.0,2.236308892753624e+18,,4775FEEC-DC73-469A-9E7E-D24010677E5B,/discoverability/signals,com.apple.controlcenter.presented,,
6504,11,1,4136210887822026287,,268.0,,,0,1,43113,0,1,3600,0,1,43113,1,-6235543431298324028,-635635896434291546,4252.0,,,,,721483113.389113,721483113.389113,1.0,721483113.0,721483113.0,1.2211200642411227e+19,,FCCA8F03-D5DC-4D78-A632-2A8DB7F83733,/discoverability/signals,com.apple.spotlight.invoked,,
6505,11,1,-6793239092446963802,,269.0,,,0,1,43117,0,1,3600,0,1,43117,1,-6235543431298324028,-635635896434291546,4252.0,,,,,721483117.616794,721483117.616794,1.0,721483117.0,721483117.0,1.2211200642411227e+19,,F83BE247-53D9-4369-8E8A-DE1D5D40AFDB,/discoverability/signals,com.apple.spotlight.invoked,,
6508,11,1,-3194583195589841735,,270.0,,,0,1,43138,0,1,3600,0,1,43138,1,-6235543431298324028,-635635896434291546,4252.0,,,,,721483138.460189,721483138.460189,1.0,721483138.0,721483138.0,1.2211200642411227e+19,,C4F77F24-05F5-4EB8-A97A-47BF18EC9710,/discoverability/signals,com.apple.spotlight.invoked,,
6509,11,1,3464954765785843744,,271.0,,,0,1,43140,0,1,3600,0,1,43140,1,2236308892753624024,-635635896434291546,4252.0,,,,,721483140.902379,721483140.902379,1.0,721483140.0,721483140.0,2.236308892753624e+18,,FDA17AAE-595C-4C31-9725-65A6AD88355B,/discoverability/signals,com.apple.controlcenter.presented,,
6510,11,1,-2263263128887401149,,272.0,,,0,1,43143,0,1,3600,0,1,43143,1,2007560149083090365,-635635896434291546,4252.0,,,,,721483143.191773,721483143.191773,1.0,721483143.0,721483143.0,2.0075601490830904e+18,,483E3DE3-B5A3-4E35-B5C2-B250EAB209A3,/discoverability/signals,com.apple.siri.dictation.siri-request-started,,
6511,11,1,-6961267665835730298,,273.0,,,0,1,43144,0,1,3600,0,1,43144,1,2236308892753624024,-635635896434291546,4252.0,,,,,721483144.748857,721483144.748857,1.0,721483144.0,721483144.0,2.236308892753624e+18,,E412CEC0-080D-4BA7-99BA-078BBE12896F,/discoverability/signals,com.apple.controlcenter.presented,,
6512,11,1,907913346407933112,,274.0,,,0,1,43147,0,1,3600,0,1,43147,1,2007560149083090365,-635635896434291546,4252.0,,,,,721483147.543121,721483147.543121,1.0,721483147.0,721483147.0,2.0075601490830904e+18,,15C26C1C-DAC9-47AD-A81D-8CB759663D1C,/discoverability/signals,com.apple.siri.dictation.siri-request-started,,
6572,11,1,-3066700770537925005,,275.0,,,0,1,63796,0,1,3600,0,1,63796,1,2687269364483809848,-635635896434291546,3429.0,,,,,721503796.221656,721503796.221656,1.0,721503796.0,721503796.0,2.68726936448381e+18,,6A0D371E-D0DE-4AF5-B98F-4199FC81E70E,/discoverability/signals,com.apple.Safari.user-opened-tab,,
6574,11,1,464704273697417111,,276.0,,,0,1,63821,0,1,3600,0,1,63821,1,2687269364483809848,-635635896434291546,5224.0,,,,,721503821.15178,721503821.15178,1.0,721503821.0,721503821.0,2.68726936448381e+18,,35B2CA5B-787F-415C-BE19-E56ED44379A9,/discoverability/signals,com.apple.Safari.user-opened-tab,,
6598,11,1,7415679716358437392,,278.0,,,0,2,34546,0,1,3600,0,2,34546,1,2236308892753624024,-635635896434291546,4252.0,,,,,721560946.419066,721560946.419066,1.0,721560946.0,721560946.0,2.236308892753624e+18,,69A96E37-BA3C-4325-A3CF-102E73C4C3F1,/discoverability/signals,com.apple.controlcenter.presented,,
6656,11,1,719784953088023413,,279.0,,,0,3,39806,0,1,3600,0,3,39806,1,2236308892753624024,-635635896434291546,4252.0,,,,,721652606.480909,721652606.480909,1.0,721652606.0,721652606.0,2.236308892753624e+18,,2D50A5D4-6EC8-40DB-B8E9-B272AE09562C,/discoverability/signals,com.apple.controlcenter.presented,,
6977,11,1,2271173211884195635,,280.0,,,0,1,57956,0,1,3600,0,1,57956,1,2157847040686542601,-635635896434291546,5575.0,,,,,722102756.659021,722102756.659021,1.0,722102756.0,722102756.0,2.1578470406865426e+18,,D8FF85FC-4195-4943-93C5-7F906C2A3049,/discoverability/signals,com.apple.notificationcenter.opened,,
6978,11,1,-2921933770084425847,,281.0,,,0,1,57957,0,1,3600,0,1,57957,1,2157847040686542601,-635635896434291546,5575.0,,,,,722102757.635506,722102757.635506,1.0,722102757.0,722102757.0,2.1578470406865426e+18,,D67621AB-D457-45A0-B5F4-0B72B9B78185,/discoverability/signals,com.apple.notificationcenter.opened,,
